userid,inner_id,grade,majorid,shortname,paper_num,estimate_num,total_score
100006126,MTAwMDA2MTI2,高二,理科,天津,4,4,686.0
100008252,MTAwMDA4MjUy,高三,文科,陕西,4,3,346.0
100037506,MTAwMDM3NTA2,高三,文科,广东,4,4,468.0
100042720,MTAwMDQyNzIw,高三,文科,内蒙古,4,4,467.0
100053632,MTAwMDUzNjMy,高三,理科,广东,4,4,353.5
100061288,MTAwMDYxMjg4,高三,文科,贵州,4,4,452.5
100091090,MTAwMDkxMDkw,高三,理科,四川,4,4,470.5
100114014,MTAwMTE0MDE0,大一,理科,天津,4,2,208.0
100162510,MTAwMTYyNTEw,高二,理科,河南,4,4,729.0
100206010,MTAwMjA2MDEw,高一,全科,浙江,3,0,0.0
100250114,MTAwMjUwMTE0,高二,文科,辽宁,4,4,443.5
100295904,MTAwMjk1OTA0,高一,理科,宁夏,4,1,130.0
100300596,MTAwMzAwNTk2,高二,理科,江西,4,2,300.0
100434400,MTAwNDM0NDAw,高三,理科,黑龙江,4,4,398.0
100436600,MTAwNDM2NjAw,高一,理科,广东,4,1,199.0
100464122,MTAwNDY0MTIy,高三,文科,辽宁,4,4,450.0
100477344,MTAwNDc3MzQ0,高三,文科,陕西,4,1,108.0
100478554,MTAwNDc4NTU0,高二,文科,内蒙古,4,0,0.0
100485888,MTAwNDg1ODg4,高一,理科,山东,4,4,750.0
100564376,MTAwNTY0Mzc2,大一,理科,广西,4,4,412.5
100584756,MTAwNTg0NzU2,高二,文科,福建,4,2,168.0
100636426,MTAwNjM2NDI2,高三,理科,安徽,4,4,490.5
100729412,MTAwNzI5NDEy,高二,文科,辽宁,4,4,589.5
100747210,MTAwNzQ3MjEw,高三,理科,河北,4,3,417.0
100756414,MTAwNzU2NDE0,高二,理科,山东,4,4,561.0
100780424,MTAwNzgwNDI0,高三,理科,河南,4,4,508.0
100782462,MTAwNzgyNDYy,高二,理科,安徽,4,4,750.0
100840300,MTAwODQwMzAw,高一,文科,重庆,4,3,275.0
100871504,MTAwODcxNTA0,初三,理科,吉林,4,2,300.0
100893144,MTAwODkzMTQ0,高三,文科,湖南,4,4,517.0
100894178,MTAwODk0MTc4,高二,理科,广东,4,1,27.0
100902648,MTAwOTAyNjQ4,其他,文科,安徽,4,4,531.0
100907928,MTAwOTA3OTI4,高三,理科,四川,4,4,604.5
100915408,MTAwOTE1NDA4,高三,理科,安徽,4,4,377.5
100921362,MTAwOTIxMzYy,高二,文科,广东,4,1,123.0
100922242,MTAwOTIyMjQy,高二,理科,广东,4,1,104.0
100930016,MTAwOTMwMDE2,高三,文科,河北,4,4,496.0
100936740,MTAwOTM2NzQw,高二,理科,陕西,4,0,0.0
100994300,MTAwOTk0MzAw,大一,理科,四川,4,4,516.0
101012986,MTAxMDEyOTg2,高一,理科,湖南,4,4,740.0
101107394,MTAxMTA3Mzk0,高三,理科,山东,4,4,525.5
101147200,MTAxMTQ3MjAw,高二,理科,辽宁,4,4,695.0
101151858,MTAxMTUxODU4,高二,理科,广东,4,4,503.5
101154350,MTAxMTU0MzUw,高三,理科,天津,4,4,582.5
101167118,MTAxMTY3MTE4,高三,文科,陕西,4,4,486.5
101173968,MTAxMTczOTY4,高三,全科,浙江,3,1,144.0
101193276,MTAxMTkzMjc2,高一,理科,山西,4,4,750.0
101262518,MTAxMjYyNTE4,高二,理科,山西,4,2,228.0
101296324,MTAxMjk2MzI0,高三,文科,河南,4,4,532.0
101318440,MTAxMzE4NDQw,高二,理科,广西,4,0,0.0
101354792,MTAxMzU0Nzky,高二,理科,贵州,4,4,502.5
101368432,MTAxMzY4NDMy,高一,理科,湖南,4,1,100.0
101376080,MTAxMzc2MDgw,高一,全科,上海,3,0,0.0
101381626,MTAxMzgxNjI2,高三,文科,新疆,4,4,590.5
101425368,MTAxNDI1MzY4,初二,理科,河北,4,1,150.0
101451680,MTAxNDUxNjgw,高二,文科,四川,4,1,123.0
10147577,MTAxNDc1Nzc=,高三,文科,陕西,4,4,575.5
101583974,MTAxNTgzOTc0,高三,文科,重庆,4,4,480.0
101586092,MTAxNTg2MDky,高二,文科,广东,4,1,101.0
101630540,MTAxNjMwNTQw,其他,文科,安徽,4,4,437.5
